"NOMBDIST","year","month","falciparum","vivax","aet","prcp","q","soilm","tmax","tmin","water_deficit","loss","loss_km2","cum_loss_km2","diag","enviro","nets","workers","pamafro","pop2015","NOMBPROV","NOMBDEP","IDDIST"
"CONTAMANA",2009,6,0,1,71.7722543852407,71.8809249304623,6.17572254849766,181.130828828022,31.5549131992465,19.0988438905778,3.53082851553067,17002385.0214494,17.0023850214494,109.441243636637,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2009,7,1,1,79.8171484180958,75.8649325435102,5.80693640690548,171.375529882765,32.8225048006385,19.62096340716,6.17533718719935,17002385.0214494,17.0023850214494,109.441243636637,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2009,8,0,1,91.3192678903569,85.2271676256478,4.34566473731186,160.933526246764,33.5049903627076,19.6859152652395,7.29807320785545,17002385.0214494,17.0023850214494,109.441243636637,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2009,9,0,0,112.830828554598,123.071483428308,7.58631984989997,163.591907846675,33.6509248443192,20.3368593190217,1.25260116215903,17002385.0214494,17.0023850214494,109.441243636637,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2009,10,0,1,118.163776390355,174.643159634805,40.5743738075212,179.490173442745,33.365895934647,20.9161850023362,0.0996146440965362,17002385.0214494,17.0023850214494,109.441243636637,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2009,11,0,0,108.361078883412,152.582659080079,41.0583814839637,182.653564394324,33.8697301464044,21.9970905252504,0.0435452793432339,17002385.0214494,17.0023850214494,109.441243636637,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2009,12,0,0,95.518882442761,235.90134863587,135.837187022832,187.199807374693,33.0880345434582,21.6533526106377,0,17002385.0214494,17.0023850214494,109.441243636637,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2010,1,0,0,95.4408477753803,107.587090317684,16.3824662872822,182.95934511747,33.3158574223748,21.8175915422237,2.46705202198442,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2010,2,0,2,71.6144509361429,203.454142605409,127.595183253059,187.199807374693,33.0077649706361,21.7592099783278,0,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2010,3,0,0,80.8828514701829,233.136994349015,152.253949894841,187.199807374693,33.0731213924283,21.6108863643139,0,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2010,4,0,1,83.699614537704,221.197109509066,137.499422062339,187.199807374693,32.9387860527847,21.9021772447119,0,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2010,5,0,0,85.2855491858686,173.4649325538,88.1815028401928,187.199807374693,32.328728288125,20.679980709833,0,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2010,6,0,1,63.5813102428164,38.2186898064292,1.91194604839663,159.926782670508,32.5140847810661,20.0580154062466,15.8705202205562,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2010,7,0,1,71.9832371177012,59.0859344570623,2.956069376657,144.075337257459,32.1736030688865,18.9720616276324,12.2574181139527,10430856.3342359,10.4308563342359,119.872099970873,0,0,0,0,1,27273,"UCAYALI","LORETO","160601"
